aX,aY,aZ,gX,gY,gZ,,aX,aY,aZ,gX,gY,gZ
-0.132,-0.32,2.551,-270.081,-47.058,22.888,,-0.132,-0.32,2.551,-270.081,-47.058,22.888
-0.04,-0.374,2.839,-234.558,-42.053,26.917,,-0.04,-0.374,2.839,-234.558,-42.053,26.917
0.071,-0.431,3.038,-198.914,-41.687,18.433,,0.071,-0.431,3.038,-198.914,-41.687,18.433
0.134,-0.518,3.024,-166.199,-34.424,5.92,,0.134,-0.518,3.024,-166.199,-34.424,5.92
0.145,-0.618,2.92,-125.244,-13.733,-3.357,,0.145,-0.618,2.92,-125.244,-13.733,-3.357
0.115,-0.7,2.653,-75.134,13.855,-9.216,,0.115,-0.7,2.653,-75.134,13.855,-9.216
0.028,-0.665,2.233,-23.682,39.185,-12.939,,0.028,-0.665,2.233,-23.682,39.185,-12.939
-0.07,-0.606,1.737,18.25,53.65,-16.052,,-0.07,-0.606,1.737,18.25,53.65,-16.052
-0.205,-0.559,1.249,44.067,48.828,-18.433,,-0.205,-0.559,1.249,44.067,48.828,-18.433
-0.286,-0.572,0.834,52.185,25.757,-19.47,,-0.286,-0.572,0.834,52.185,25.757,-19.47
-0.307,-0.623,0.496,48.401,-7.568,-18.433,,-0.307,-0.623,0.496,48.401,-7.568,-18.433
-0.272,-0.68,0.226,40.466,-37.781,-16.296,,-0.272,-0.68,0.226,40.466,-37.781,-16.296
-0.214,-0.717,0.078,32.471,-56.58,-13.794,,-0.214,-0.717,0.078,32.471,-56.58,-13.794
-0.161,-0.749,0.024,24.231,-59.814,-11.597,,-0.161,-0.749,0.024,24.231,-59.814,-11.597
-0.11,-0.751,0.059,14.954,-48.401,-11.047,,-0.11,-0.751,0.059,14.954,-48.401,-11.047
-0.107,-0.74,0.15,5.371,-28.442,-11.597,,-0.107,-0.74,0.15,5.371,-28.442,-11.597
-0.147,-0.738,0.32,-5.005,-8.057,-12.451,,-0.147,-0.738,0.32,-5.005,-8.057,-12.451
-0.199,-0.746,0.513,-13.428,7.996,-12.024,,-0.199,-0.746,0.513,-13.428,7.996,-12.024
-0.245,-0.755,0.697,-17.151,18.066,-9.827,,-0.245,-0.755,0.697,-17.151,18.066,-9.827
-0.274,-0.762,0.842,-15.625,20.691,-5.493,,-0.274,-0.762,0.842,-15.625,20.691,-5.493
-0.292,-0.758,0.929,-10.986,14.893,-1.709,,-0.292,-0.758,0.929,-10.986,14.893,-1.709
-0.286,-0.751,0.988,-4.333,4.028,0.977,,-0.286,-0.751,0.988,-4.333,4.028,0.977
-0.264,-0.74,0.998,3.174,-4.7,3.54,,-0.264,-0.74,0.998,3.174,-4.7,3.54
-0.231,-0.717,0.961,11.108,-10.132,5.859,,-0.231,-0.717,0.961,11.108,-10.132,5.859
-0.203,-0.698,0.886,16.968,-12.024,7.385,,-0.203,-0.698,0.886,16.968,-12.024,7.385
-0.181,-0.683,0.818,19.958,-10.254,6.958,,-0.181,-0.683,0.818,19.958,-10.254,6.958
-0.163,-0.685,0.748,20.447,-6.531,5.432,,-0.163,-0.685,0.748,20.447,-6.531,5.432
-0.156,-0.696,0.681,19.47,-2.502,3.052,,-0.156,-0.696,0.681,19.47,-2.502,3.052
-0.154,-0.717,0.626,18.372,1.282,1.16,,-0.154,-0.717,0.626,18.372,1.282,1.16
-0.155,-0.737,0.571,17.639,4.456,0.671,,-0.155,-0.737,0.571,17.639,4.456,0.671
-0.16,-0.753,0.526,16.907,5.493,1.099,,-0.16,-0.753,0.526,16.907,5.493,1.099
-0.167,-0.766,0.5,15.869,5.31,1.892,,-0.167,-0.766,0.5,15.869,5.31,1.892
-0.175,-0.754,0.492,14.16,3.418,2.502,,-0.175,-0.754,0.492,14.16,3.418,2.502
-0.173,-0.74,0.51,10.62,-1.038,1.892,,-0.173,-0.74,0.51,10.62,-1.038,1.892
-0.167,-0.739,0.537,4.822,-6.042,0.427,,-0.167,-0.739,0.537,4.822,-6.042,0.427
-0.153,-0.742,0.561,-0.854,-10.193,-1.282,,-0.153,-0.742,0.561,-0.854,-10.193,-1.282
-0.137,-0.736,0.575,-4.822,-11.292,-2.625,,-0.137,-0.736,0.575,-4.822,-11.292,-2.625
-0.125,-0.739,0.592,-8.362,-8.789,-3.54,,-0.125,-0.739,0.592,-8.362,-8.789,-3.54
-0.123,-0.748,0.624,-10.681,-5.005,-4.7,,-0.123,-0.748,0.624,-10.681,-5.005,-4.7
-0.129,-0.75,0.643,-11.353,-2.197,-5.737,,-0.129,-0.75,0.643,-11.353,-2.197,-5.737
-0.139,-0.747,0.666,-10.559,0.244,-5.981,,-0.139,-0.747,0.666,-10.559,0.244,-5.981
-0.159,-0.741,0.691,-8.789,3.113,-5.493,,-0.159,-0.741,0.691,-8.789,3.113,-5.493
-0.187,-0.738,0.713,-6.653,5.493,-5.005,,-0.187,-0.738,0.713,-6.653,5.493,-5.005
-0.202,-0.735,0.727,-4.272,4.7,-4.028,,-0.202,-0.735,0.727,-4.272,4.7,-4.028
-0.203,-0.729,0.731,-2.563,1.343,-2.625,,-0.203,-0.729,0.731,-2.563,1.343,-2.625
-0.187,-0.724,0.728,-1.465,-2.502,-1.831,,-0.187,-0.724,0.728,-1.465,-2.502,-1.831
-0.162,-0.717,0.712,-1.038,-5.92,-2.075,,-0.162,-0.717,0.712,-1.038,-5.92,-2.075
-0.143,-0.709,0.69,-1.16,-8.118,-2.808,,-0.143,-0.709,0.69,-1.16,-8.118,-2.808
-0.128,-0.707,0.673,-1.648,-7.324,-3.906,,-0.128,-0.707,0.673,-1.648,-7.324,-3.906
-0.132,-0.711,0.649,-1.587,-4.761,-4.639,,,,,,,
-0.151,-0.714,0.647,0.061,-2.563,-4.15,,,,,,,
-0.16,-0.705,0.646,2.686,-1.282,-2.319,,,,,,,
-0.169,-0.704,0.641,4.944,-0.244,0.305,,,,,,,
-0.168,-0.706,0.635,6.226,0.671,3.174,,,,,,,
-0.159,-0.715,0.632,6.714,0.732,4.822,,,,,,,
-0.145,-0.731,0.624,7.141,0.732,5.249,,,,,,,
-0.137,-0.74,0.621,8.24,0.916,5.798,,,,,,,
-0.147,-0.742,0.615,9.094,1.16,5.249,,,,,,,
-0.157,-0.742,0.615,9.338,1.282,3.113,,,,,,,
-0.165,-0.741,0.621,8.423,0.977,1.343,,,,,,,
-0.165,-0.746,0.628,7.385,1.038,0.671,,,,,,,
-0.16,-0.755,0.637,6.714,2.38,0,,,,,,,
-0.159,-0.755,0.647,6.653,4.7,0.122,,,,,,,
-0.159,-0.759,0.661,7.446,6.653,0.854,,,,,,,
-0.161,-0.761,0.666,8.728,7.446,2.563,,,,,,,
-0.166,-0.744,0.665,10.437,6.775,3.967,,,,,,,
-0.168,-0.737,0.665,10.254,4.333,4.272,,,,,,,
-0.164,-0.735,0.668,8.362,2.136,3.723,,,,,,,
-0.162,-0.738,0.665,6.836,1.221,2.808,,,,,,,
-0.16,-0.735,0.667,5.981,1.77,1.892,,,,,,,
-0.157,-0.742,0.675,5.432,1.709,1.16,,,,,,,
-0.159,-0.756,0.678,5.615,1.648,1.343,,,,,,,
-0.151,-0.766,0.688,7.69,1.587,2.625,,,,,,,
-0.143,-0.757,0.685,10.681,0.061,3.54,,,,,,,
-0.133,-0.747,0.678,12.451,-1.77,3.54,,,,,,,
-0.122,-0.732,0.67,13.123,-2.197,3.357,,,,,,,
-0.124,-0.721,0.671,12.634,-1.648,2.747,,,,,,,
-0.125,-0.718,0.677,11.169,-0.488,1.099,,,,,,,
-0.133,-0.726,0.68,9.766,1.099,-0.427,,,,,,,
-0.147,-0.731,0.669,9.338,2.808,-1.221,,,,,,,
-0.16,-0.744,0.664,9.644,3.296,-1.099,,,,,,,
-0.171,-0.761,0.668,11.23,3.174,0.061,,,,,,,
-0.175,-0.763,0.668,14.038,2.38,1.587,,,,,,,
-0.179,-0.763,0.669,16.663,0.977,2.747,,,,,,,
-0.176,-0.754,0.676,19.043,-0.549,3.601,,,,,,,
-0.173,-0.734,0.669,19.958,-2.808,3.906,,,,,,,
-0.162,-0.724,0.662,18.616,-4.211,2.686,,,,,,,
-0.16,-0.728,0.67,16.479,-3.723,1.343,,,,,,,
-0.151,-0.743,0.683,15.015,-1.465,0.427,,,,,,,
-0.154,-0.758,0.684,14.709,0.732,0,,,,,,,
-0.157,-0.768,0.681,16.052,2.502,0.183,,,,,,,
-0.157,-0.773,0.676,18.188,2.625,0.977,,,,,,,
-0.15,-0.778,0.673,20.508,0.366,1.526,,,,,,,
-0.136,-0.763,0.66,22.522,-2.319,1.709,,,,,,,
-0.121,-0.757,0.643,23.56,-3.296,2.014,,,,,,,
-0.107,-0.755,0.616,23.437,-1.831,1.648,,,,,,,
-0.098,-0.759,0.597,22.888,1.221,0.671,,,,,,,
-0.107,-0.773,0.574,21.973,5.676,-0.427,,,,,,,
-0.133,-0.79,0.557,21.729,8.911,-0.488,,,,,,,
-0.157,-0.801,0.557,22.339,7.812,0.854,,,,,,,
-0.165,-0.801,0.546,22.583,3.418,2.686,,,,,,,
-0.163,-0.802,0.538,21.24,-1.648,3.662,,,,,,,
-0.159,-0.808,0.552,19.348,-3.723,4.333,,,,,,,
-0.164,-0.817,0.574,18.433,-2.441,5.066,,,,,,,
-0.166,-0.819,0.596,18.311,-0.244,5.554,,,,,,,
-0.161,-0.81,0.629,18.738,0.549,5.005,,,,,,,
-0.157,-0.807,0.647,19.165,1.038,4.272,,,,,,,
-0.143,-0.813,0.653,19.653,2.991,4.211,,,,,,,
-0.135,-0.814,0.662,20.813,4.7,3.784,,,,,,,
-0.124,-0.81,0.659,22.4,6.531,2.93,,,,,,,
-0.117,-0.811,0.652,24.292,8.179,2.502,,,,,,,
-0.119,-0.812,0.664,26.611,9.766,2.258,,,,,,,
-0.12,-0.811,0.665,29.541,11.353,3.052,,,,,,,
-0.123,-0.801,0.662,32.349,11.719,3.296,,,,,,,
-0.13,-0.793,0.688,34.058,10.803,2.38,,,,,,,
-0.141,-0.803,0.732,35.95,11.719,1.77,,,,,,,
-0.147,-0.806,0.749,38.757,13.245,2.014,,,,,,,
-0.141,-0.802,0.765,42.786,13.367,1.831,,,,,,,
-0.141,-0.797,0.763,46.692,13.428,0.854,,,,,,,
-0.245,0.5,-2.067,-150.391,-64.514,-7.751,,,,,,,
-0.233,0.607,-2.109,-169.739,-66.956,-9.094,,,,,,,
-0.204,0.704,-2.138,-192.627,-66.711,-10.681,,,,,,,
-0.188,0.773,-2.125,-216.309,-66.284,-12.939,,,,,,,
-0.176,0.829,-2.15,-240.906,-68.176,-16.479,,,,,,,
-0.159,0.888,-2.158,-262.939,-78.857,-21.667,,,,,,,
-0.149,0.953,-2.168,-282.715,-93.384,-29.114,,,,,,,
-0.136,0.998,-2.182,-301.941,-101.624,-33.752,,,,,,,
-0.131,1.024,-2.128,-321.167,-98.572,-34.607,,,,,,,
-0.127,1.046,-2.024,-343.384,-83.679,-35.156,,,,,,,
-0.124,1.038,-1.856,-368.103,-61.157,-35.767,,,,,,,
-0.133,0.984,-1.613,-395.203,-37.354,-36.438,,,,,,,
-0.134,0.893,-1.331,-421.143,-15.808,-39.063,,,,,,,
-0.125,0.788,-1.011,-440.125,2.625,-42.236,,,,,,,
-0.121,0.683,-0.685,-447.998,25.94,-39.856,,,,,,,
-0.124,0.575,-0.396,-446.716,57.19,-29.907,,,,,,,
-0.132,0.498,-0.136,-441.04,86.67,-16.968,,,,,,,
-0.17,0.439,0.065,-433.838,103.516,-2.991,,,,,,,
-0.181,0.39,0.256,-425.781,106.812,13.367,,,,,,,
-0.179,0.364,0.437,-416.321,99.304,28.32,,,,,,,
-0.154,0.339,0.531,-408.081,80.505,35.095,,,,,,,
-0.084,0.269,0.585,-403.32,51.453,36.255,,,,,,,
-0.008,0.213,0.586,-397.156,22.278,37.354,,,,,,,
0.08,0.202,0.598,-386.292,-1.465,36.804,,,,,,,
0.156,0.204,0.628,-377.136,-19.714,30.273,,,,,,,
0.245,0.239,0.684,-373.108,-28.015,21.423,,,,,,,
0.286,0.261,0.855,-372.986,-22.888,12.634,,,,,,,
0.312,0.229,1.063,-371.948,-4.028,5.432,,,,,,,
0.288,0.179,1.317,-364.563,20.142,1.465,,,,,,,
0.257,0.139,1.625,-348.145,40.649,0.671,,,,,,,
0.197,0.087,1.935,-325.073,53.04,2.869,,,,,,,
0.161,0.027,2.184,-297.791,60.12,4.639,,,,,,,
0.078,-0.05,2.409,-268.188,58.167,4.089,,,,,,,
0.026,-0.114,2.529,-239.197,48.889,1.282,,,,,,,
-0.012,-0.137,2.644,-211.67,30.884,-3.113,,,,,,,
-0.001,-0.158,2.793,-187.317,9.583,-6.348,,,,,,,
0.031,-0.304,2.836,-165.955,-8.85,-8.24,,,,,,,
0.07,-0.469,2.729,-138.428,-26.55,-10.254,,,,,,,
0.071,-0.548,2.503,-97.717,-41.87,-16.113,,,,,,,
0.068,-0.566,2.099,-54.016,-44.128,-23.743,,,,,,,
0.017,-0.57,1.665,-15.625,-32.349,-25.879,,,,,,,
-0.044,-0.59,1.291,13.489,-15.747,-23.437,,,,,,,
-0.1,-0.618,0.972,31.372,-7.202,-18.799,,,,,,,
-0.121,-0.641,0.712,38.635,-12.451,-15.259,,,,,,,
-0.1,-0.677,0.517,37.292,-25.94,-13.184,,,,,,,
-0.065,-0.709,0.384,30.762,-38.635,-11.292,,,,,,,
-0.04,-0.739,0.347,23.682,-44.434,-9.46,,,,,,,
-0.02,-0.76,0.366,17.395,-42.48,-9.277,,,,,,,
-0.012,-0.769,0.388,12.451,-34.851,-10.071,,,,,,,
-0.024,-0.779,0.444,9.033,-24.841,-11.292,,,,,,,
-0.054,-0.79,0.507,7.69,-12.695,-11.536,,,,,,,
-0.084,-0.789,0.567,8.606,-1.16,-9.583,,,,,,,
-0.11,-0.768,0.624,10.803,7.629,-6.531,,,,,,,
-0.149,-0.754,0.663,12.146,12.634,-3.723,,,,,,,
-0.169,-0.739,0.709,12.39,12.939,-2.197,,,,,,,
-0.176,-0.72,0.749,11.292,8.911,-1.892,,,,,,,
-0.179,-0.711,0.763,8.728,3.967,-1.892,,,,,,,
-0.174,-0.708,0.763,6.409,0.549,-2.197,,,,,,,
-0.162,-0.718,0.757,5.066,-1.221,-2.502,,,,,,,
-0.156,-0.734,0.758,6.042,-1.831,-2.808,,,,,,,
-0.155,-0.753,0.729,8.911,-2.319,-1.953,,,,,,,
-0.149,-0.75,0.682,13.489,-3.601,0.61,,,,,,,
-0.129,-0.738,0.651,17.578,-5.737,2.686,,,,,,,
-0.11,-0.734,0.612,18.799,-8.606,2.93,,,,,,,
-0.095,-0.723,0.578,17.7,-9.888,2.686,,,,,,,
-0.086,-0.717,0.555,15.259,-8.179,2.38,,,,,,,
-0.082,-0.723,0.552,11.658,-5.31,0.366,,,,,,,
-0.085,-0.737,0.548,7.141,-2.93,-2.38,,,,,,,
-0.088,-0.757,0.552,3.357,-1.343,-4.395,,,,,,,
-0.102,-0.77,0.565,1.282,-0.122,-4.7,,,,,,,
-0.118,-0.783,0.581,1.648,0.977,-3.418,,,,,,,
-0.139,-0.779,0.609,3.601,0.854,-1.831,,,,,,,
-0.16,-0.773,0.626,5.432,-1.16,-1.038,,,,,,,
-0.166,-0.753,0.633,6.287,-3.479,-0.854,,,,,,,
-0.17,-0.732,0.63,5.615,-4.944,-1.038,,,,,,,
-0.169,-0.737,0.628,3.052,-4.7,-0.793,,,,,,,
-0.164,-0.752,0.635,0.488,-4.333,-0.732,,,,,,,
-0.16,-0.763,0.645,-1.038,-4.15,-1.099,,,,,,,
-0.154,-0.772,0.642,-1.343,-4.395,-1.465,,,,,,,
-0.147,-0.776,0.641,-0.671,-4.028,-1.404,,,,,,,
-0.146,-0.782,0.648,0.977,-2.686,-0.427,,,,,,,
-0.145,-0.773,0.653,3.357,-0.366,0.977,,,,,,,
-0.146,-0.759,0.652,5.981,0.305,1.648,,,,,,,
-0.147,-0.739,0.638,7.385,0.244,2.014,,,,,,,
-0.139,-0.731,0.624,6.836,0.366,2.747,,,,,,,
-0.138,-0.727,0.611,4.211,0.122,2.197,,,,,,,
-0.133,-0.733,0.602,0.671,-1.038,0.854,,,,,,,
-0.127,-0.751,0.597,-2.625,-2.686,-0.427,,,,,,,
-0.12,-0.764,0.594,-4.456,-4.028,-1.038,,,,,,,
-0.115,-0.766,0.59,-4.883,-4.517,-1.404,,,,,,,
-0.11,-0.77,0.584,-4.822,-3.357,-1.282,,,,,,,
-0.109,-0.774,0.587,-3.906,-1.221,-0.732,,,,,,,
-0.109,-0.776,0.597,-2.625,1.343,-0.061,,,,,,,
-0.113,-0.773,0.608,-1.465,4.333,0.305,,,,,,,
-0.121,-0.765,0.61,0,7.996,0.427,,,,,,,
-0.123,-0.751,0.622,0.854,10.254,-0.061,,,,,,,
-0.136,-0.743,0.636,0.366,10.864,-0.366,,,,,,,
-0.139,-0.746,0.659,-0.61,9.033,-0.305,,,,,,,
-0.135,-0.756,0.666,-1.648,4.517,-0.61,,,,,,,
-0.131,-0.759,0.673,-1.465,0.061,-0.916,,,,,,,
-0.125,-0.756,0.681,-0.244,-1.831,-0.732,,,,,,,
-0.134,-0.753,0.674,0.793,-2.075,0.183,,,,,,,
-0.134,-0.746,0.666,1.831,-1.465,0.916,,,,,,,
-0.124,-0.738,0.653,2.319,0.122,1.038,,,,,,,
-0.113,-0.73,0.637,1.587,2.441,0.366,,,,,,,
-0.113,-0.73,0.628,0.305,5.493,-0.427,,,,,,,
-0.11,-0.734,0.634,-0.549,7.019,-0.916,,,,,,,
-0.105,-0.74,0.629,-1.587,5.676,-1.404,,,,,,,
-0.108,-0.751,0.622,-1.892,3.723,-1.465,,,,,,,
-0.106,-0.761,0.623,-0.61,2.563,-1.16,,,,,,,
-0.106,-0.757,0.626,1.038,1.831,-1.16,,,,,,,
-0.106,-0.752,0.631,2.197,2.136,-1.587,,,,,,,
-0.113,-0.749,0.65,3.357,3.845,-1.892,,,,,,,
-0.126,-0.743,0.663,4.639,5.127,-2.197,,,,,,,
-0.134,-0.733,0.665,5.249,5.493,-2.502,,,,,,,
-0.153,-0.724,0.661,4.883,4.7,-2.197,,,,,,,
-0.161,-0.734,0.659,3.296,2.563,-1.831,,,,,,,
-0.158,-0.753,0.656,1.709,-0.061,-1.465,,,,,,,
-0.153,-0.764,0.654,1.648,-1.404,-0.61,,,,,,,
-0.225,0.544,-2.026,-180.664,-40.283,-20.325,,,,,,,
-0.196,0.631,-2.05,-205.383,-41.016,-22.461,,,,,,,
-0.171,0.671,-2.086,-232.91,-40.039,-25.94,,,,,,,
-0.178,0.676,-2.068,-258.728,-39.978,-29.724,,,,,,,
-0.196,0.616,-2.071,-283.02,-39.734,-34.241,,,,,,,
-0.229,0.584,-2.069,-304.871,-39.124,-37.964,,,,,,,
-0.27,0.648,-2.051,-321.533,-36.682,-39.856,,,,,,,
-0.334,0.763,-2.01,-331.848,-29.968,-35.767,,,,,,,
-0.419,0.892,-1.968,-341.919,-19.47,-26.001,,,,,,,
-0.484,1,-1.98,-356.628,-20.752,-15.32,,,,,,,
-0.472,1.143,-2.014,-372.559,-41.199,-7.874,,,,,,,
-0.427,1.245,-1.976,-391.602,-67.444,-7.568,,,,,,,
-0.376,1.276,-1.899,-421.326,-78.979,-13.611,,,,,,,
-0.283,1.155,-1.734,-453.918,-70.557,-20.386,,,,,,,
-0.198,0.926,-1.431,-484.436,-48.157,-24.963,,,,,,,
-0.132,0.69,-1.046,-506.409,-17.822,-26.794,,,,,,,
-0.078,0.542,-0.584,-507.874,14.954,-27.283,,,,,,,
-0.016,0.442,-0.168,-494.263,50.72,-28.748,,,,,,,
-0.032,0.311,0.173,-473.511,88.44,-22.034,,,,,,,
-0.075,0.255,0.342,-446.228,125.305,-1.038,,,,,,,
-0.127,0.294,0.418,-416.321,144.531,23.376,,,,,,,
-0.153,0.403,0.426,-398.56,136.963,38.757,,,,,,,
-0.118,0.51,0.434,-397.095,109.253,42.664,,,,,,,
0.009,0.62,0.568,-409.668,77.637,40.466,,,,,,,
0.083,0.633,0.885,-431.091,57.068,33.081,,,,,,,
0.171,0.456,1.299,-443.176,56.274,26.184,,,,,,,
0.264,0.234,1.614,-430.42,66.04,27.771,,,,,,,
0.335,0.083,1.855,-390.93,67.688,34.302,,,,,,,
0.382,0.051,1.874,-343.567,57.251,35.767,,,,,,,
0.374,0.123,1.786,-300.171,41.809,34.241,,,,,,,
0.354,0.201,1.746,-267.151,25.879,33.386,,,,,,,
0.314,0.219,1.709,-250.366,8.972,30.579,,,,,,,
0.296,0.164,1.687,-242.981,-8.728,22.766,,,,,,,
0.28,0.085,1.695,-236.084,-25.574,11.108,,,,,,,
0.273,0.011,1.704,-226.379,-35.522,-0.732,,,,,,,
0.25,-0.066,1.692,-212.585,-36.926,-11.23,,,,,,,
0.191,-0.128,1.69,-194.763,-31.982,-22.217,,,,,,,
0.094,-0.151,1.741,-172.913,-19.104,-32.776,,,,,,,
-0.032,-0.157,1.788,-148.499,0,-38.33,,,,,,,
-0.138,-0.156,1.867,-123.291,15.442,-36.072,,,,,,,
-0.206,-0.208,1.932,-100.525,17.639,-30.64,,,,,,,
-0.224,-0.274,1.886,-80.017,6.836,-24.414,,,,,,,
-0.203,-0.332,1.755,-58.899,-11.292,-18.066,,,,,,,
-0.151,-0.353,1.58,-39.612,-30.762,-12.207,,,,,,,
-0.115,-0.37,1.393,-24.597,-46.753,-7.141,,,,,,,
-0.097,-0.418,1.209,-15.259,-58.289,-5.066,,,,,,,
-0.075,-0.472,1.049,-9.46,-65.063,-5.981,,,,,,,
-0.064,-0.501,0.92,-5.676,-66.04,-7.69,,,,,,,
-0.055,-0.531,0.82,-4.333,-59.509,-10.864,,,,,,,
-0.07,-0.57,0.75,-4.639,-45.471,-14.282,,,,,,,
-0.092,-0.617,0.732,-3.54,-27.588,-15.869,,,,,,,
-0.132,-0.632,0.733,-0.366,-11.597,-13.733,,,,,,,
-0.168,-0.625,0.748,3.296,-4.761,-9.644,,,,,,,
-0.198,-0.597,0.758,3.113,-8.484,-6.348,,,,,,,
-0.212,-0.583,0.766,0.244,-18.372,-4.578,,,,,,,
-0.218,-0.562,0.785,-2.747,-28.687,-2.441,,,,,,,
-0.206,-0.547,0.809,-5.676,-36.133,-0.793,,,,,,,
-0.188,-0.539,0.82,-8.362,-39.612,0.061,,,,,,,
-0.175,-0.536,0.821,-10.193,-38.269,-1.282,,,,,,,
-0.169,-0.53,0.829,-10.62,-32.227,-3.54,,,,,,,
-0.177,-0.536,0.841,-9.949,-23.56,-5.31,,,,,,,
-0.185,-0.554,0.854,-8.667,-14.099,-6.165,,,,,,,
-0.193,-0.571,0.869,-5.31,-5.798,-6.287,,,,,,,
-0.199,-0.569,0.865,-0.061,1.648,-5.371,,,,,,,
-0.206,-0.563,0.844,5.981,8.911,-4.028,,,,,,,
-0.22,-0.538,0.836,11.536,14.404,-2.93,,,,,,,
-0.247,-0.517,0.815,14.099,14.648,-1.465,,,,,,,
-0.261,-0.509,0.792,12.878,8.911,0.122,,,,,,,
-0.259,-0.51,0.785,9.094,-1.221,1.709,,,,,,,
-0.241,-0.527,0.775,5.066,-10.254,2.38,,,,,,,
-0.213,-0.548,0.76,2.258,-15.442,2.563,,,,,,,
-0.189,-0.558,0.751,1.343,-15.015,2.075,,,,,,,
-0.174,-0.569,0.749,1.648,-9.583,1.221,,,,,,,
-0.184,-0.588,0.759,3.113,-2.319,0.427,,,,,,,
-0.2,-0.594,0.778,5.981,4.089,0.854,,,,,,,
-0.213,-0.592,0.79,9.277,6.653,1.709,,,,,,,
-0.222,-0.577,0.793,11.719,6.042,3.296,,,,,,,
-0.224,-0.547,0.798,12.39,3.235,4.761,,,,,,,
-0.222,-0.537,0.795,9.644,-0.305,4.944,,,,,,,
-0.215,-0.535,0.789,5.432,-3.906,3.967,,,,,,,
-0.22,-0.532,0.8,1.099,-6.592,2.319,,,,,,,
-0.218,-0.555,0.805,-2.686,-6.47,0.732,,,,,,,
-0.224,-0.584,0.807,-4.7,-4.822,0.122,,,,,,,
-0.227,-0.595,0.823,-3.235,-3.174,0.671,,,,,,,
-0.22,-0.584,0.818,-1.221,-1.892,1.648,,,,,,,
-0.22,-0.572,0.81,0.488,-1.16,2.625,,,,,,,
-0.212,-0.559,0.801,1.465,-0.122,3.418,,,,,,,
-0.204,-0.546,0.792,1.221,0.183,3.479,,,,,,,
-0.201,-0.54,0.78,-0.61,-0.305,2.502,,,,,,,
-0.208,-0.541,0.771,-2.319,-1.221,1.831,,,,,,,
-0.209,-0.546,0.775,-3.845,-2.808,2.075,,,,,,,
-0.206,-0.56,0.774,-5.127,-5.249,2.258,,,,,,,
-0.199,-0.57,0.777,-5.493,-7.568,2.319,,,,,,,
-0.185,-0.575,0.784,-4.333,-7.812,2.38,,,,,,,
-0.176,-0.577,0.789,-3.174,-6.165,2.563,,,,,,,
-0.172,-0.574,0.795,-1.587,-3.052,2.686,,,,,,,
-0.179,-0.554,0.798,0.244,0.854,2.38,,,,,,,
-0.187,-0.534,0.789,1.038,3.174,1.953,,,,,,,
-0.198,-0.519,0.779,-0.732,3.113,0.61,,,,,,,
-0.207,-0.527,0.784,-3.296,2.319,-0.854,,,,,,,
-0.213,-0.548,0.792,-5.493,1.282,-1.709,,,,,,,
-0.212,-0.561,0.798,-5.798,0.183,-1.953,,,,,,,
-0.209,-0.564,0.805,-4.639,-0.671,-1.526,,,,,,,
-0.199,-0.566,0.811,-2.93,-0.61,-0.732,,,,,,,
-0.2,-0.55,0.806,-0.977,0.183,1.282,,,,,,,
-0.199,-0.53,0.809,0.61,0.122,2.869,,,,,,,
-0.189,-0.509,0.8,0.549,-0.854,2.747,,,,,,,
-0.185,-0.507,0.798,-0.854,-0.977,2.197,,,,,,,
-0.191,-0.511,0.807,-2.563,-0.793,1.587,,,,,,,
-0.188,-0.534,0.81,-3.906,-0.977,-0.244,,,,,,,
-0.186,-0.542,0.807,-4.333,-0.366,-1.892,,,,,,,
-0.188,-0.547,0.814,-3.113,1.282,-2.93,,,,,,,
-0.195,-0.556,0.821,-0.977,3.052,-2.625,,,,,,,
