aX,aY,aZ,gX,gY,gZ
-0.08,-1.379,1.457,-45.471,-43.701,12.207
-0.045,-1.533,1.54,-60.73,-64.941,13.184
-0.088,-1.612,1.649,-65.43,-83.069,9.216
-0.125,-1.604,1.683,-58.411,-87.463,-3.296
-0.144,-1.542,1.671,-37.781,-71.045,-26.367
-0.203,-1.489,1.618,-8.118,-38.879,-53.345
-0.29,-1.406,1.536,22.522,1.099,-80.261
-0.388,-1.286,1.456,50.354,39.307,-99.792
-0.443,-1.127,1.337,75.134,73.364,-103.21
-0.497,-0.913,1.185,92.59,101.257,-90.088
-0.406,-0.513,1.018,101.257,122.437,-61.829
-0.235,-0.077,0.838,100.952,139.282,-28.015
-0.085,0.137,0.655,84.534,133.606,-7.69
0.038,0.19,0.495,52.307,94.788,-1.77
0.122,0.264,0.421,12.268,40.405,5.554
0.276,0.444,0.333,-22.705,-6.897,20.63
0.47,0.732,0.253,-45.349,-42.114,35.767
0.661,1.019,0.176,-55.42,-65.43,39.185
0.802,1.312,0.129,-52.612,-67.139,22.888
0.881,1.553,0.089,-45.593,-35.583,-0.671
0.891,1.774,0.078,-45.349,13.611,-24.292
0.791,1.899,0.133,-59.814,56.702,-45.166
0.613,1.943,0.262,-90.454,78.674,-60.669
0.474,1.934,0.447,-131.836,70.007,-71.411
0.298,1.888,0.733,-173.218,38.086,-85.815
0.132,1.815,1.044,-198.73,3.479,-107.727
-0.136,1.7,1.377,-193.237,-12.939,-132.202
-0.475,1.515,1.645,-154.846,4.7,-148.193
-0.723,1.322,1.741,-94.604,55.603,-149.597
-0.882,1.126,1.657,-31.677,94.36,-132.935
-0.936,0.967,1.453,17.7,89.966,-101.196
-0.904,0.813,1.257,50.293,49.377,-58.105
-0.891,0.725,0.994,63.843,-13.245,-11.719
-0.688,0.581,0.747,63.416,-43.396,36.987
-0.393,0.431,0.592,56.946,-51.331,73.242
-0.1,0.258,0.494,46.814,-39.734,94.788
0.175,0.145,0.495,35.95,-17.395,102.783
0.376,0.07,0.537,25.269,0.793,99.487
0.471,0.045,0.625,13.855,15.442,85.327
0.472,0.06,0.749,4.089,25.818,64.392
0.387,0.089,0.853,0.244,31.372,43.396
0.304,0.135,0.915,3.052,32.471,27.832
0.224,0.175,0.948,7.568,27.893,17.456
0.178,0.172,0.928,12.451,20.447,12.39
0.19,0.172,0.881,15.259,10.254,12.207
0.198,0.149,0.816,12.634,-0.916,14.282
0.182,0.121,0.766,4.944,-8.85,12.817
0.159,0.116,0.757,-5.31,-11.597,8.972
0.131,0.131,0.774,-15.259,-9.094,5.798
0.106,0.165,0.819,-23.193,-3.418,3.235
0.073,0.194,0.895,-28.748,3.479,2.197
0.086,0.204,0.953,-29.724,10.681,5.066
0.092,0.212,1.005,-25.513,15.625,8.789
0.103,0.222,1.041,-17.456,18.005,10.986
0.118,0.218,1.058,-8.911,18.738,12.329
0.13,0.221,1.05,-1.16,15.93,13.489
0.131,0.219,1.023,5.31,10.376,12.512
0.113,0.229,0.989,9.46,3.784,9.155
0.108,0.231,0.94,11.353,-1.343,6.042
0.093,0.216,0.894,10.437,-5.432,5.066
0.069,0.224,0.878,6.775,-8.057,4.395
0.061,0.233,0.893,0.732,-7.385,3.845
0.054,0.244,0.93,-5.188,-4.211,4.517
0.044,0.259,0.983,-7.69,0.244,6.165
0.067,0.266,1.026,-6.042,4.7,9.033
0.095,0.255,1.05,-1.77,6.897,12.024
0.115,0.248,1.057,2.808,4.089,11.963
0.11,0.247,1.045,7.019,-0.305,9.46
0.096,0.243,1.022,9.949,-3.357,6.104
0.077,0.245,0.987,11.902,-4.761,3.601
0.068,0.246,0.953,12.207,-5.615,2.441
0.068,0.247,0.931,9.705,-5.981,2.319
0.075,0.232,0.918,5.371,-6.531,2.93
0.084,0.224,0.923,1.038,-6.531,3.113
0.091,0.229,0.951,-2.014,-4.822,2.747
0.098,0.23,0.984,-3.357,-2.258,1.099
0.081,0.238,1.01,-2.258,1.465,-0.671
0.088,0.235,1.024,1.465,5.005,-0.366
0.098,0.225,1.012,5.981,5.798,1.404
0.1,0.223,0.996,9.155,3.479,1.77
0.095,0.22,0.972,10.193,0.366,0.427
0.08,0.215,0.942,9.46,-2.625,-0.61
0.059,0.214,0.917,7.263,-5.615,-1.282
0.04,0.22,0.91,4.089,-8.545,-1.709
0.026,0.233,0.913,-0.122,-9.644,-1.953
0.017,0.24,0.924,-3.296,-8.667,-1.526
0.02,0.24,0.935,-4.883,-6.409,-0.427
0.021,0.237,0.954,-4.639,-4.944,-0.61
0.021,0.24,0.966,-2.563,-3.174,-1.404
0.034,0.238,0.966,0.61,-1.16,-1.892
0.031,0.238,0.97,3.906,0.671,-0.977
0.039,0.232,0.959,5.981,1.465,1.16
0.045,0.233,0.953,7.446,0.732,2.747
0.045,0.229,0.941,7.263,-0.427,3.235
0.038,0.23,0.938,6.531,-1.77,2.93
0.026,0.237,0.94,5.554,-2.38,2.625
0.02,0.24,0.947,4.456,-1.831,2.625
0.035,0.232,0.959,3.601,-0.183,2.625
0.047,0.234,0.97,2.869,0.61,2.441
0.057,0.242,0.979,2.502,-0.305,1.404
0.074,0.229,0.976,2.014,-2.93,0.977
0.08,0.215,0.967,1.343,-6.897,1.526
0.072,0.21,0.962,0.732,-11.414,1.343
0.062,0.217,0.955,0.061,-13.977,0.854
0.044,0.234,0.951,-0.732,-14.16,0.427
0.024,0.23,0.95,-0.793,-11.353,0
0.002,0.231,0.95,-0.244,-6.165,-0.244
-0.014,0.243,0.952,0.061,-1.221,0
-0.013,0.248,0.97,-0.061,4.211,0.366
0.003,0.247,0.988,-0.427,9.216,1.221
0.034,0.241,1.001,0.366,12.024,2.686
0.057,0.236,1.005,3.174,11.597,4.333
0.077,0.229,0.999,6.409,8.972,5.432
0.09,0.218,0.978,8.301,5.92,5.249
0.09,0.2,0.965,8.667,3.052,4.15
0.085,0.208,0.963,8.545,1.099,2.747
0.077,0.204,0.97,8.423,-0.244,0.427
0.058,0.209,0.974,9.033,-0.549,-2.441
0.037,0.214,0.969,9.338,0.488,-4.395
-0.255,-1.386,1.138,-30.823,-45.166,-4.578
-0.22,-1.445,1.145,-28.87,-52.734,-1.587
-0.176,-1.498,1.146,-25.635,-64.819,-0.061
-0.151,-1.505,1.125,-21.362,-75.745,-4.639
-0.061,-1.454,1.077,-13.672,-83.252,-13.062
-0.025,-1.359,1.006,-2.93,-83.191,-23.926
0.037,-1.235,0.931,9.949,-66.65,-39.795
0.075,-1.076,0.871,20.813,-33.813,-57.312
0.111,-0.873,0.841,23.315,6.104,-72.021
0.059,-0.697,0.887,16.541,40.955,-81.604
-0.055,-0.577,0.974,5.127,64.758,-83.74
-0.149,-0.508,1.034,-6.592,77.515,-71.106
-0.114,-0.3,1.044,-11.536,78.491,-40.161
0.155,0.315,1.025,-1.953,71.411,0.488
0.297,0.966,1.056,16.296,68.542,33.02
0.288,1.401,1.142,28.259,70.007,39.612
0.212,1.519,1.16,32.593,72.388,26.611
0.169,1.233,1.087,41.016,72.754,11.475
0.175,0.979,0.921,51.819,59.448,6.836
0.201,0.72,0.732,58.96,42.297,20.447
0.265,0.728,0.555,56.152,31.433,42.725
0.356,0.837,0.447,35.767,26.489,63.232
0.419,0.977,0.353,-4.578,19.714,75.806
0.387,1.112,0.405,-53.711,-1.221,76.294
0.356,1.221,0.556,-101.44,-19.409,69.519
0.352,1.306,0.747,-135.193,-26.611,55.603
0.282,1.354,0.958,-143.127,-29.785,35.583
0.203,1.4,1.173,-123.535,-20.325,11.475
0.121,1.476,1.318,-79.224,0,-14.648
0.004,1.419,1.311,-23.743,27.649,-37.659
-0.09,1.286,1.192,18.555,55.115,-55.481
-0.201,1.152,1.106,31.25,69.824,-63.049
-0.278,0.982,1.054,12.817,61.584,-56.824
-0.32,0.824,1.003,-20.691,24.841,-41.687
-0.361,0.705,0.994,-49.622,-28.625,-20.874
-0.355,0.633,1.016,-63.293,-75.378,1.343
-0.273,0.552,1.053,-58.899,-91.858,19.226
-0.182,0.472,1.077,-36.56,-75.439,25.574
-0.106,0.372,1.054,-4.15,-38.635,21.118
-0.04,0.297,0.979,26.794,-1.16,16.296
0,0.27,0.884,45.898,22.644,15.869
0.043,0.233,0.802,49.927,28.992,19.531
0.108,0.238,0.739,41.077,24.353,23.865
0.129,0.192,0.718,24.231,15.137,24.658
0.155,0.17,0.736,6.592,5.188,24.414
0.191,0.153,0.776,-8.118,-2.502,23.865
0.228,0.132,0.85,-16.602,-8.545,18.677
0.223,0.107,0.924,-16.724,-12.146,8.301
0.19,0.114,0.96,-10.254,-10.742,-2.014
0.141,0.135,0.951,-2.38,-7.324,-9.155
0.091,0.148,0.933,2.014,-6.714,-13.733
0.049,0.158,0.911,2.197,-8.545,-14.893
0,0.186,0.898,-0.244,-10.315,-14.16
-0.04,0.214,0.919,-3.357,-9.949,-12.939
-0.043,0.213,0.942,-6.47,-6.836,-9.338
-0.015,0.209,0.945,-7.019,-1.953,-4.089
0.014,0.231,0.968,-6.775,3.662,-0.427
0.052,0.251,1.008,-7.446,9.277,0.61
0.066,0.241,1.048,-7.935,13.245,-2.319
0.045,0.257,1.071,-6.958,13.916,-6.592
0.002,0.267,1.1,-4.7,11.902,-9.094
0.001,0.263,1.095,-1.343,9.399,-7.08
0.002,0.251,1.072,2.808,5.371,-3.357
0.034,0.224,1.049,6.104,-0.305,-0.061
0.059,0.198,1.005,7.69,-5.981,3.54
0.055,0.181,0.971,8.911,-10.254,5.066
0.052,0.187,0.94,10.01,-9.644,4.578
0.034,0.206,0.926,9.644,-4.578,3.967
0.031,0.212,0.925,7.874,3.296,2.93
0.026,0.213,0.934,5.615,11.23,0.366
0.019,0.227,0.956,3.296,16.602,-1.953
0.023,0.237,0.993,0.427,18.799,-3.113
0.017,0.217,1.031,-0.61,16.724,-1.77
0.039,0.187,1.048,3.784,11.292,3.906
0.072,0.168,1.027,11.292,5.188,11.047
0.102,0.159,0.993,17.273,-0.671,13.855
0.092,0.139,0.948,18.982,-3.662,13.367
0.068,0.144,0.916,17.029,-3.967,11.169
0.034,0.171,0.902,12.085,-2.197,8.24
0.017,0.197,0.91,4.517,-0.244,5.31
0.007,0.2,0.937,-2.747,1.526,2.441
0.01,0.204,0.968,-7.874,4.211,0.671
0.02,0.222,1.007,-10.742,7.141,-0.183
0.007,0.215,1.052,-10.071,7.69,-0.183
0.026,0.202,1.065,-5.188,7.08,2.258
0.056,0.182,1.034,1.831,5.188,5.676
0.066,0.166,0.999,7.69,1.099,7.141
0.066,0.165,0.967,10.254,-2.808,7.568
0.062,0.166,0.94,10.071,-5.493,7.812
0.054,0.158,0.92,8.362,-6.531,6.775
0.053,0.164,0.917,6.348,-5.005,4.761
0.047,0.184,0.924,3.174,-1.465,2.136
0.039,0.183,0.938,-0.793,2.991,-0.061
0.036,0.19,0.957,-3.845,6.592,-1.099
0.044,0.193,0.978,-5.981,8.179,-0.977
0.045,0.182,1.002,-6.226,7.141,0.427
0.057,0.17,1.008,-3.174,4.456,2.808
0.091,0.159,1,1.709,2.258,3.906
0.084,0.161,0.975,5.859,1.16,4.211
0.065,0.168,0.949,7.568,0.793,3.052
0.051,0.177,0.93,6.165,1.038,1.038
0.032,0.189,0.928,2.93,0.671,0.305
0.024,0.199,0.936,0.183,0.854,0.366
0.024,0.214,0.944,-1.526,2.441,1.221
0.025,0.217,0.956,-2.869,4.578,2.258
0.04,0.216,0.984,-4.028,5.249,3.235
0.066,0.198,1.001,-3.662,4.089,4.15
0.081,0.191,1.007,-1.282,2.136,3.906
0.084,0.193,1.001,1.892,0.977,3.052
0.077,0.183,0.978,3.784,0.61,2.258
0.062,0.18,0.962,4.272,-1.038,1.404
0.051,0.186,0.945,3.479,-2.93,1.404
0.046,0.195,0.939,1.16,-4.333,1.465
0.042,0.184,0.955,-0.977,-4.7,1.892
0.03,0.185,0.968,-1.038,-3.357,3.296
0.031,0.199,0.98,0.977,-0.549,4.822
0.034,0.194,0.995,3.296,2.991,6.47
0.052,0.189,1.002,5.127,5.554,8.057
0.066,0.187,1.01,6.287,6.531,8.972
0.205,1.134,1.212,-84.534,-43.457,-9.094
0.058,1.058,1.2,-55.481,-19.165,-27.649
-0.053,0.994,1.123,-17.7,15.808,-34.607
-0.117,0.918,1.04,8.789,46.021,-32.898
-0.137,0.826,0.995,13.306,54.688,-23.193
-0.138,0.729,0.977,0.305,38.696,-6.042
-0.043,0.66,1.003,-19.226,5.92,12.268
0.07,0.588,1.06,-34.302,-29.236,22.217
0.091,0.5,1.103,-37.842,-52.612,20.752
0.065,0.436,1.156,-27.649,-57.129,14.038
0.052,0.363,1.174,-6.042,-46.204,9.155
0.051,0.332,1.119,21.24,-26.794,8.728
0.073,0.332,1.029,44.006,-8.789,10.803
0.072,0.272,0.916,52.49,2.075,14.832
0.094,0.211,0.818,47.119,5.188,18.738
0.103,0.197,0.76,34.424,0.977,22.766
0.137,0.178,0.774,17.822,-5.249,23.987
0.171,0.176,0.829,2.563,-9.583,18.677
0.178,0.151,0.909,-6.409,-8.911,7.263
0.154,0.167,0.977,-7.812,-4.089,-3.784
0.095,0.194,1.022,-5.737,-0.61,-9.399
0.072,0.198,1.027,-3.296,-1.16,-10.498
0.059,0.206,0.997,-1.099,-4.944,-9.399
0.05,0.215,0.961,0.549,-9.277,-7.446
0.042,0.193,0.9,-0.244,-12.268,-4.761
0.047,0.188,0.832,-2.38,-13.855,-2.136
0.04,0.177,0.795,-5.676,-13.367,-0.427
0.064,0.162,0.786,-10.498,-11.108,-0.793
0.055,0.149,0.804,-14.343,-7.874,-4.333
0.03,0.163,0.846,-16.785,-2.502,-9.094
0.003,0.191,0.902,-18.25,4.578,-11.353
-0.012,0.208,0.977,-17.456,11.597,-10.925
-0.009,0.228,1.034,-13.672,14.832,-8.85
-0.011,0.23,1.088,-7.08,12.512,-5.066
0.021,0.215,1.09,0.183,8.728,-0.244
0.053,0.204,1.051,6.836,4.333,5.249
0.067,0.198,0.998,10.925,-0.916,9.155
0.078,0.205,0.952,10.376,-5.371,9.705
0.065,0.197,0.918,6.714,-8.362,6.714
0.028,0.198,0.903,1.16,-8.728,2.625
-0.006,0.201,0.911,-4.822,-7.019,0
-0.022,0.209,0.949,-9.216,-4.883,-1.587
-0.025,0.216,0.993,-10.742,-2.258,-2.075
-0.031,0.227,1.034,-8.423,1.343,-1.465
-0.031,0.215,1.067,-3.296,4.395,1.099
-0.004,0.193,1.058,2.991,5.676,6.226
0.027,0.184,1.027,9.521,4.456,10.986
0.069,0.195,1.003,13.306,2.441,12.817
0.095,0.186,0.98,13.55,0.732,11.597
0.104,0.182,0.959,12.512,0,6.836
0.073,0.184,0.934,10.315,0.854,0.916
0.043,0.183,0.923,6.409,2.563,-2.93
0.024,0.193,0.923,1.587,4.15,-4.578
0.006,0.201,0.945,-2.197,6.165,-4.761
-0.004,0.204,0.969,-4.272,7.019,-3.784
0.002,0.2,0.989,-5.249,3.906,-1.526
0.032,0.19,0.993,-5.493,-1.465,1.587
0.073,0.176,0.995,-4.761,-6.226,3.662
0.094,0.164,0.993,-2.258,-8.728,2.563
0.084,0.153,0.974,1.587,-6.836,-0.305
0.066,0.167,0.952,4.944,-2.075,-3.235
0.041,0.182,0.93,5.676,2.319,-5.066
0.017,0.187,0.914,3.052,5.371,-5.31
0.003,0.195,0.923,-1.099,5.493,-4.272
-0.005,0.189,0.941,-4.272,4.395,-1.587
0.014,0.181,0.952,-5.798,4.028,2.38
0.051,0.182,0.964,-5.493,3.113,6.165
0.077,0.183,0.973,-4.028,1.282,7.935
0.078,0.175,0.99,-1.831,-1.404,7.446
0.078,0.172,0.993,1.465,-2.014,5.798
0.075,0.18,0.991,4.761,-1.709,3.906
0.06,0.195,0.976,6.409,-1.953,1.892
0.034,0.203,0.958,6.287,-3.418,0.183
0.015,0.215,0.936,3.845,-4.395,-0.183
0.001,0.219,0.925,0.366,-3.967,0.488
-0.011,0.216,0.932,-2.808,-2.93,0.916
-0.012,0.212,0.953,-4.822,-1.892,1.587
-0.006,0.216,0.979,-4.822,-1.709,2.93
0.013,0.212,1.005,-3.784,-1.221,4.517
0.054,0.19,1.018,-1.648,-0.061,6.042
0.074,0.168,1,2.319,0.916,6.042
0.073,0.169,0.98,7.812,0.61,4.272
0.06,0.164,0.947,11.047,0.549,2.258
0.051,0.169,0.919,11.353,0.061,1.587
0.044,0.178,0.901,8.606,-0.183,1.404
0.039,0.188,0.906,3.845,-1.16,1.343
0.032,0.191,0.923,-1.709,-2.014,1.16
